µA1,µA2,µB1,µB2
0.69474,0.55707,0.94537,0.26435
0.94422,0.26382,0.61968,0.17975
0.61775,0.17954,0.5181,0.1599
0.98596,0.35128,0.48683,0.7507
0.48754,0.74817,0.246,0.99773
0.24616,0.99817,0.15971,0.78995
0.15974,0.79351,0.15971,0.78995
0.15974,0.79351,0.21134,0.96017
0.21144,0.96205,0.40674,0.84988
0.40726,0.84736,0.91609,0.40974
0.91718,0.40855,0.73373,0.20321
0.73177,0.20291,0.43252,0.14299
0.431,0.14288,0.36239,0.12851
0.36109,0.12843,0.43252,0.14299
0.431,0.14288,0.8492,0.23107
0.84747,0.23068,0.69358,0.55898
0.69474,0.55707,0.28868,0.98841
0.28892,0.98741,0.15971,0.78995
0.15974,0.79351,0.14036,0.68913
0.14037,0.69282,0.15971,0.78995
0.15974,0.79351,0.246,0.99773
0.24616,0.99817,0.58303,0.65095
0.58397,0.64868,0.99649,0.30425
0.99619,0.30355,0.61968,0.17975
0.61775,0.17954,0.43252,0.14299
0.94422,0.26382,0.69358,0.55898
0.69474,0.55707,0.246,0.99773
0.24616,0.99817,0.14036,0.68913
0.14037,0.69282,0.12417,0.59348
0.12416,0.59699,0.14036,0.68913
0.14037,0.69282,0.21134,0.96017
0.21144,0.96205,0.48683,0.7507
0.48754,0.74817,0.99649,0.30425
0.99619,0.30355,0.5181,0.1599
0.51636,0.15974,0.30558,0.11603
0.30449,0.11599,0.30558,0.11603
0.30449,0.11599,0.5181,0.1599
0.51636,0.15974,0.99649,0.30425
0.99619,0.30355,0.48683,0.7507
0.48754,0.74817,0.21134,0.96017
0.21144,0.96205,0.15971,0.78995
0.15974,0.79351,0.15971,0.78995
0.15974,0.79351,0.246,0.99773
0.24616,0.99817,0.48683,0.7507
0.48754,0.74817,0.98542,0.3522
0.98596,0.35128,0.73373,0.20321
0.73177,0.20291,0.43252,0.14299
0.61775,0.17954,0.91609,0.40974
0.91718,0.40855,0.34147,0.93471
0.34183,0.93268,0.15971,0.78995
0.15974,0.79351,0.09894,0.43503
0.09891,0.43783,0.09894,0.43503
0.09891,0.43783,0.14036,0.68913
0.14037,0.69282,0.246,0.99773
0.24616,0.99817,0.69358,0.55898
0.69474,0.55707,0.94537,0.26435
0.94422,0.26382,0.43252,0.14299
0.431,0.14288,0.30558,0.11603
0.30449,0.11599,0.36239,0.12851
0.36109,0.12843,0.73373,0.20321
0.73177,0.20291,0.81042,0.47837
0.81168,0.47684,0.34147,0.93471
0.34183,0.93268,0.18302,0.88546
0.18308,0.88844,0.18302,0.88546
0.18308,0.88844,0.21134,0.96017
0.21144,0.96205,0.40674,0.84988
0.40726,0.84736,0.91609,0.40974
0.91718,0.40855,0.8492,0.23107
0.84747,0.23068,0.43252,0.14299
0.431,0.14288,0.94537,0.26435
0.94422,0.26382,0.58303,0.65095
0.58397,0.64868,0.21134,0.96017
0.21144,0.96205,0.11053,0.50826
0.11051,0.51144,0.08903,0.37333
0.08899,0.37576,0.09894,0.43503
0.09891,0.43783,0.14036,0.68913
0.14037,0.69282,0.28868,0.98841
0.28892,0.98741,0.81042,0.47837
0.81168,0.47684,0.73373,0.20321
0.73177,0.20291,0.43252,0.14299
0.431,0.14288,0.36239,0.12851
0.36109,0.12843,0.5181,0.1599
0.51636,0.15974,0.99649,0.30425
0.99619,0.30355,0.58303,0.65095
0.58397,0.64868,0.28868,0.98841
0.28892,0.98741,0.21134,0.96017
0.21144,0.96205,0.21134,0.96017
0.21144,0.96205,0.34147,0.93471
0.34183,0.93268,0.18302,0.88546
0.18308,0.88844,0.94537,0.26435
0.94422,0.26382,0.5181,0.1599
0.36109,0.12843,0.61968,0.17975
0.61775,0.17954,0.98542,0.3522
0.98596,0.35128,0.34147,0.93471
0.34183,0.93268,0.14036,0.68913
0.14037,0.69282,0.08903,0.37333
0.08899,0.37576,0.08049,0.32184
0.08046,0.32394,0.09894,0.43503
0.09891,0.43783,0.15971,0.78995
0.15974,0.79351,0.40674,0.84988
0.40726,0.84736,0.91609,0.40974
0.91718,0.40855,0.73373,0.20321
0.73177,0.20291,0.5181,0.1599
0.51636,0.15974,0.5181,0.1599
0.51636,0.15974,0.73373,0.20321
0.73177,0.20291,0.91609,0.40974
0.91718,0.40855,0.48683,0.7507
0.48754,0.74817,0.28868,0.98841
0.28892,0.98741,0.246,0.99773
0.24616,0.99817,0.34147,0.93471
0.34183,0.93268,0.58303,0.65095
0.58397,0.64868,0.98542,0.3522
0.98596,0.35128,0.73373,0.20321
0.30449,0.11599,0.43252,0.14299
0.431,0.14288,0.8492,0.23107
0.84747,0.23068,0.69358,0.55898
0.69474,0.55707,0.246,0.99773
0.24616,0.99817,0.12417,0.59348
0.12416,0.59699,0.08903,0.37333
0.08899,0.37576,0.08903,0.37333
0.08899,0.37576,0.11053,0.50826
0.11051,0.51144,0.21134,0.96017
0.21144,0.96205,0.48683,0.7507
0.48754,0.74817,0.91609,0.40974
0.91718,0.40855,0.8492,0.23107
0.84747,0.23068,0.61968,0.17975
0.61775,0.17954,0.73373,0.20321
0.73177,0.20291,0.94537,0.26435
0.94422,0.26382,0.81042,0.47837
0.81168,0.47684,0.48683,0.7507
0.48754,0.74817,0.34147,0.93471
0.34183,0.93268,0.18302,0.88546
0.18308,0.88844,0.48683,0.7507
0.48754,0.74817,0.91609,0.40974
0.91718,0.40855,0.94537,0.26435
0.431,0.14288,0.36239,0.12851
0.36109,0.12843,0.61968,0.17975
0.61775,0.17954,0.99649,0.30425
0.99619,0.30355,0.58303,0.65095
0.58397,0.64868,0.21134,0.96017
0.21144,0.96205,0.12417,0.59348
0.12416,0.59699,0.09894,0.43503
0.09891,0.43783,0.09894,0.43503
0.09891,0.43783,0.14036,0.68913
0.14037,0.69282,0.21134,0.96017
0.21144,0.96205,0.48683,0.7507
0.48754,0.74817,0.91609,0.40974
0.91718,0.40855,0.99649,0.30425
0.99619,0.30355,0.8492,0.23107
0.84747,0.23068,0.94537,0.26435
0.94422,0.26382,0.98542,0.3522
0.98596,0.35128,0.81042,0.47837
0.81168,0.47684,0.58303,0.65095
0.58397,0.64868,0.48683,0.7507
0.48754,0.74817,0.58303,0.65095
0.58397,0.64868,0.69358,0.55898
0.69474,0.55707,0.98542,0.3522
0.61775,0.17954,0.5181,0.1599
0.51636,0.15974,0.5181,0.1599
0.51636,0.15974,0.73373,0.20321
0.73177,0.20291,0.98542,0.3522
0.98596,0.35128,0.48683,0.7507
0.48754,0.74817,0.246,0.99773
0.24616,0.99817,0.14036,0.68913
0.14037,0.69282,0.12417,0.59348
0.12416,0.59699,0.12417,0.59348
0.12416,0.59699,0.15971,0.78995
0.15974,0.79351,0.21134,0.96017
0.21144,0.96205,0.40674,0.84988
0.40726,0.84736,0.69358,0.55898
0.69474,0.55707,0.98542,0.3522
0.98596,0.35128,0.99649,0.30425
0.99619,0.30355,0.15971,0.78995
0.15974,0.79351,0.12417,0.59348
0.12416,0.59699,0.91609,0.40974
0.91718,0.40855,0.69358,0.55898
0.69474,0.55707,0.69358,0.55898
0.69474,0.55707,0.69358,0.55898
0.69474,0.55707,0.81042,0.47837
0.94422,0.26382,0.73373,0.20321
0.73177,0.20291,0.61968,0.17975
0.61775,0.17954,0.73373,0.20321
0.73177,0.20291,0.94537,0.26435
0.94422,0.26382,0.98542,0.3522
0.98596,0.35128,0.58303,0.65095
0.58397,0.64868,0.28868,0.98841
0.28892,0.98741,0.18302,0.88546
0.18308,0.88844,0.14036,0.68913
0.14037,0.69282,0.14036,0.68913
0.14037,0.69282,0.15971,0.78995
0.15974,0.79351,0.21134,0.96017
0.21144,0.96205,0.34147,0.93471
0.34183,0.93268,0.58303,0.65095
0.58397,0.64868,0.81042,0.47837
0.81168,0.47684,0.98542,0.3522
0.98596,0.35128,0.246,0.99773
0.24616,0.99817,0.99649,0.30425
0.99619,0.30355,0.98542,0.3522
0.98596,0.35128,0.91609,0.40974
0.91718,0.40855,0.81042,0.47837
0.81168,0.47684,0.81042,0.47837
0.91718,0.40855,0.98542,0.3522
0.98596,0.35128,0.94537,0.26435
0.94422,0.26382,0.8492,0.23107
0.84747,0.23068,0.91609,0.40974
0.91718,0.40855,0.94537,0.26435
0.94422,0.26382,0.98542,0.3522
0.98596,0.35128,0.81042,0.47837
0.81168,0.47684,0.40674,0.84988
0.40726,0.84736,0.246,0.99773
0.24616,0.99817,0.15971,0.78995
0.15974,0.79351,0.14036,0.68913
0.14037,0.69282,0.14036,0.68913
0.14037,0.69282,0.18302,0.88546
0.18308,0.88844,0.246,0.99773
0.24616,0.99817,0.48683,0.7507
0.48754,0.74817,0.81042,0.47837
0.81168,0.47684,0.98542,0.3522
0.98596,0.35128,0.94537,0.26435
0.94422,0.26382,0.94537,0.26435
0.94422,0.26382,0.94537,0.26435
0.94422,0.26382,0.98542,0.3522
0.98596,0.35128,0.81042,0.47837
0.58397,0.64868,0.69358,0.55898
0.69474,0.55707,0.81042,0.47837
0.81168,0.47684,0.98542,0.3522
0.98596,0.35128,0.94537,0.26435
0.94422,0.26382,0.8492,0.23107
0.84747,0.23068,0.8492,0.23107
0.84747,0.23068,0.94537,0.26435
0.94422,0.26382,0.98542,0.3522
0.98596,0.35128,0.58303,0.65095
0.58397,0.64868,0.28868,0.98841
0.28892,0.98741,0.18302,0.88546
0.18308,0.88844,0.14036,0.68913
0.14037,0.69282,0.12417,0.59348
0.12416,0.59699,0.11053,0.50826
0.11051,0.51144,0.246,0.99773
0.24616,0.99817,0.40674,0.84988
0.40726,0.84736,0.81042,0.47837
0.81168,0.47684,0.94537,0.26435
0.94422,0.26382,0.73373,0.20321
0.73177,0.20291,0.73373,0.20321
0.73177,0.20291,0.12417,0.59348
0.12416,0.59699,0.98542,0.3522
0.48754,0.74817,0.40674,0.84988
0.40726,0.84736,0.40674,0.84988
0.40726,0.84736,0.58303,0.65095
0.58397,0.64868,0.91609,0.40974
0.91718,0.40855,0.99649,0.30425
0.99619,0.30355,0.73373,0.20321
0.73177,0.20291,0.61968,0.17975
0.61775,0.17954,0.73373,0.20321
0.73177,0.20291,0.94537,0.26435
0.94422,0.26382,0.69358,0.55898
0.69474,0.55707,0.34147,0.93471
0.34183,0.93268,0.15971,0.78995
0.15974,0.79351,0.12417,0.59348
0.12416,0.59699,0.12417,0.59348
0.12416,0.59699,0.14036,0.68913
0.14037,0.69282,0.246,0.99773
0.24616,0.99817,0.48683,0.7507
0.48754,0.74817,0.98542,0.3522
0.98596,0.35128,0.73373,0.20321
0.73177,0.20291,0.5181,0.1599
0.51636,0.15974,0.61968,0.17975
0.61775,0.17954,0.8492,0.23107
0.48754,0.74817,0.28868,0.98841
0.28892,0.98741,0.246,0.99773
0.24616,0.99817,0.28868,0.98841
0.28892,0.98741,0.40674,0.84988
0.40726,0.84736,0.246,0.99773
0.24616,0.99817,0.94537,0.26435
0.94422,0.26382,0.61968,0.17975
0.61775,0.17954,0.43252,0.14299
0.431,0.14288,0.5181,0.1599
0.51636,0.15974,0.8492,0.23107
0.84747,0.23068,0.81042,0.47837
0.81168,0.47684,0.28868,0.98841
0.28892,0.98741,0.15971,0.78995
0.15974,0.79351,0.11053,0.50826
0.11051,0.51144,0.11053,0.50826
0.11051,0.51144,0.15971,0.78995
0.15974,0.79351,0.28868,0.98841
0.28892,0.98741,0.69358,0.55898
0.69474,0.55707,0.94537,0.26435
0.94422,0.26382,0.5181,0.1599
0.51636,0.15974,0.43252,0.14299
0.431,0.14288,0.61968,0.17975
0.58397,0.64868,0.28868,0.98841
0.28892,0.98741,0.18302,0.88546
0.18308,0.88844,0.15971,0.78995
0.15974,0.79351,0.21134,0.96017
0.21144,0.96205,0.40674,0.84988
0.40726,0.84736,0.81042,0.47837
0.81168,0.47684,0.8492,0.23107
0.84747,0.23068,0.43252,0.14299
0.431,0.14288,0.30558,0.11603
0.30449,0.11599,0.43252,0.14299
0.431,0.14288,0.8492,0.23107
0.84747,0.23068,0.69358,0.55898
0.69474,0.55707,0.246,0.99773
0.24616,0.99817,0.14036,0.68913
0.14037,0.69282,0.11053,0.50826
0.11051,0.51144,0.12417,0.59348
0.12416,0.59699,0.18302,0.88546
0.18308,0.88844,0.40674,0.84988
0.40726,0.84736,0.98542,0.3522
0.98596,0.35128,0.61968,0.17975
0.61775,0.17954,0.36239,0.12851
0.36109,0.12843,0.43252,0.14299
0.91718,0.40855,0.34147,0.93471
0.34183,0.93268,0.15971,0.78995
0.15974,0.79351,0.12417,0.59348
0.12416,0.59699,0.12417,0.59348
0.12416,0.59699,0.18302,0.88546
0.18308,0.88844,0.40674,0.84988
0.40726,0.84736,0.98542,0.3522
0.98596,0.35128,0.61968,0.17975
0.61775,0.17954,0.30558,0.11603
0.30449,0.11599,0.25968,0.10522
0.25875,0.1052,0.43252,0.14299
0.431,0.14288,0.94537,0.26435
0.94422,0.26382,0.58303,0.65095
0.58397,0.64868,0.21134,0.96017
0.21144,0.96205,0.14036,0.68913
0.14037,0.69282,0.12417,0.59348
0.12416,0.59699,0.15971,0.78995
0.15974,0.79351,0.28868,0.98841
0.28892,0.98741,0.69358,0.55898
0.69474,0.55707,0.8492,0.23107
0.84747,0.23068,0.43252,0.14299
0.431,0.14288,0.36239,0.12851
0.28892,0.98741,0.58303,0.65095
0.58397,0.64868,0.21134,0.96017
0.21144,0.96205,0.11053,0.50826
0.11051,0.51144,0.09894,0.43503
0.09891,0.43783,0.11053,0.50826
0.11051,0.51144,0.18302,0.88546
0.18308,0.88844,0.48683,0.7507
0.48754,0.74817,0.99649,0.30425
0.99619,0.30355,0.43252,0.14299
0.431,0.14288,0.25968,0.10522
0.25875,0.1052,0.30558,0.11603
0.30449,0.11599,0.5181,0.1599
0.51636,0.15974,0.98542,0.3522
0.98596,0.35128,0.48683,0.7507
0.48754,0.74817,0.21134,0.96017
0.21144,0.96205,0.15971,0.78995
0.15974,0.79351,0.15971,0.78995
0.15974,0.79351,0.246,0.99773
0.24616,0.99817,0.48683,0.7507
0.48754,0.74817,0.99649,0.30425
0.99619,0.30355,0.61968,0.17975
0.61775,0.17954,0.36239,0.12851
0.73177,0.20291,0.91609,0.40974
0.91718,0.40855,0.28868,0.98841
0.28892,0.98741,0.12417,0.59348
0.12416,0.59699,0.08903,0.37333
0.08899,0.37576,0.08903,0.37333
0.08899,0.37576,0.12417,0.59348
0.12416,0.59699,0.21134,0.96017
0.21144,0.96205,0.69358,0.55898
0.69474,0.55707,0.8492,0.23107
0.84747,0.23068,0.43252,0.14299
0.431,0.14288,0.30558,0.11603
0.30449,0.11599,0.36239,0.12851
0.36109,0.12843,0.73373,0.20321
0.73177,0.20291,0.91609,0.40974
0.91718,0.40855,0.40674,0.84988
0.40726,0.84736,0.21134,0.96017
0.21144,0.96205,0.18302,0.88546
0.18308,0.88844,0.246,0.99773
0.24616,0.99817,0.40674,0.84988
0.40726,0.84736,0.91609,0.40974
0.91718,0.40855,0.73373,0.20321
0.73177,0.20291,0.43252,0.14299
0.51636,0.15974,0.99649,0.30425
0.99619,0.30355,0.48683,0.7507
0.48754,0.74817,0.18302,0.88546
0.18308,0.88844,0.09894,0.43503
0.09891,0.43783,0.14036,0.68913
0.14037,0.69282,0.0731,0.27899
0.07306,0.2808,0.14036,0.68913
0.14037,0.69282,0.28868,0.98841
0.28892,0.98741,0.81042,0.47837
0.81168,0.47684,0.8492,0.23107
0.84747,0.23068,0.43252,0.14299
0.431,0.14288,0.36239,0.12851
0.36109,0.12843,0.5181,0.1599
0.51636,0.15974,0.94537,0.26435
0.94422,0.26382,0.69358,0.55898
0.69474,0.55707,0.34147,0.93471
0.34183,0.93268,0.28868,0.98841
0.28892,0.98741,0.28868,0.98841
0.28892,0.98741,0.40674,0.84988
0.40726,0.84736,0.81042,0.47837
0.81168,0.47684,0.94537,0.26435
0.94422,0.26382,0.61968,0.17975
0.431,0.14288,0.73373,0.20321
0.73177,0.20291,0.81042,0.47837
0.81168,0.47684,0.28868,0.98841
0.28892,0.98741,0.14036,0.68913
0.14037,0.69282,0.09894,0.43503
0.09891,0.43783,0.08903,0.37333
0.08899,0.37576,0.11053,0.50826
0.11051,0.51144,0.15971,0.78995
0.15974,0.79351,0.34147,0.93471
0.34183,0.93268,0.91609,0.40974
0.91718,0.40855,0.8492,0.23107
0.84747,0.23068,0.5181,0.1599
0.51636,0.15974,0.5181,0.1599
0.51636,0.15974,0.73373,0.20321
0.73177,0.20291,0.98542,0.3522
0.98596,0.35128,0.58303,0.65095
0.58397,0.64868,0.40674,0.84988
0.40726,0.84736,0.40674,0.84988
0.40726,0.84736,0.48683,0.7507
0.48754,0.74817,0.69358,0.55898
0.69474,0.55707,0.99649,0.30425
0.99619,0.30355,0.73373,0.20321
0.431,0.14288,0.61968,0.17975
0.61775,0.17954,0.99649,0.30425
0.99619,0.30355,0.48683,0.7507
0.48754,0.74817,0.21134,0.96017
0.21144,0.96205,0.12417,0.59348
0.12416,0.59699,0.09894,0.43503
0.09891,0.43783,0.09894,0.43503
0.09891,0.43783,0.12417,0.59348
0.12416,0.59699,0.21134,0.96017
0.21144,0.96205,0.40674,0.84988
0.40726,0.84736,0.91609,0.40974
0.91718,0.40855,0.94537,0.26435
0.94422,0.26382,0.15971,0.78995
0.15974,0.79351,0.73373,0.20321
0.73177,0.20291,0.99649,0.30425
0.99619,0.30355,0.91609,0.40974
0.91718,0.40855,0.69358,0.55898
0.69474,0.55707,0.58303,0.65095
0.58397,0.64868,0.58303,0.65095
0.58397,0.64868,0.81042,0.47837
0.81168,0.47684,0.98542,0.3522
0.98596,0.35128,0.8492,0.23107
0.51636,0.15974,0.61968,0.17975
0.61775,0.17954,0.8492,0.23107
0.84747,0.23068,0.81042,0.47837
0.81168,0.47684,0.40674,0.84988
0.40726,0.84736,0.18302,0.88546
0.18308,0.88844,0.12417,0.59348
0.12416,0.59699,0.11053,0.50826
0.11051,0.51144,0.12417,0.59348
0.12416,0.59699,0.15971,0.78995
0.15974,0.79351,0.246,0.99773
0.24616,0.99817,0.48683,0.7507
0.48754,0.74817,0.81042,0.47837
0.81168,0.47684,0.99649,0.30425
0.99619,0.30355,0.94537,0.26435
0.94422,0.26382,0.5181,0.1599
0.51636,0.15974,0.98542,0.3522
0.98596,0.35128,0.91609,0.40974
0.91718,0.40855,0.81042,0.47837
0.81168,0.47684,0.48683,0.7507
0.48754,0.74817,0.81042,0.47837
0.81168,0.47684,0.98542,0.3522
0.98596,0.35128,0.94537,0.26435
0.73177,0.20291,0.73373,0.20321
0.73177,0.20291,0.8492,0.23107
0.84747,0.23068,0.98542,0.3522
0.98596,0.35128,0.69358,0.55898
0.69474,0.55707,0.34147,0.93471
0.34183,0.93268,0.21134,0.96017
0.21144,0.96205,0.15971,0.78995
0.15974,0.79351,0.14036,0.68913
0.14037,0.69282,0.15971,0.78995
0.15974,0.79351,0.18302,0.88546
0.18308,0.88844,0.28868,0.98841
0.28892,0.98741,0.48683,0.7507
0.48754,0.74817,0.69358,0.55898
0.69474,0.55707,0.91609,0.40974
0.91718,0.40855,0.98542,0.3522
0.98596,0.35128,0.98542,0.3522
0.98596,0.35128,0.98542,0.3522
0.98596,0.35128,0.91609,0.40974
0.91718,0.40855,0.91609,0.40974
0.91718,0.40855,0.91609,0.40974
0.91718,0.40855,0.98542,0.3522
0.98596,0.35128,0.99649,0.30425
0.84747,0.23068,0.8492,0.23107
0.84747,0.23068,0.73373,0.20321
0.73177,0.20291,0.99649,0.30425
0.99619,0.30355,0.91609,0.40974
0.91718,0.40855,0.58303,0.65095
0.58397,0.64868,0.34147,0.93471
0.34183,0.93268,0.246,0.99773
0.24616,0.99817,0.18302,0.88546
0.18308,0.88844,0.18302,0.88546
0.18308,0.88844,0.18302,0.88546
0.18308,0.88844,0.21134,0.96017
0.21144,0.96205,0.28868,0.98841
0.28892,0.98741,0.40674,0.84988
0.40726,0.84736,0.58303,0.65095
0.58397,0.64868,0.81042,0.47837
0.81168,0.47684,0.91609,0.40974
0.91718,0.40855,0.98542,0.3522
0.98596,0.35128,0.98542,0.3522
0.98596,0.35128,0.98542,0.3522
0.98596,0.35128,0.98542,0.3522
0.98596,0.35128,0.98542,0.3522
0.98596,0.35128,0.98542,0.3522
0.99619,0.30355,0.99649,0.30425
0.99619,0.30355,0.94537,0.26435
0.94422,0.26382,0.99649,0.30425
0.99619,0.30355,0.98542,0.3522
0.98596,0.35128,0.91609,0.40974
0.91718,0.40855,0.69358,0.55898
0.69474,0.55707,0.48683,0.7507
0.48754,0.74817,0.28868,0.98841
0.28892,0.98741,0.246,0.99773
0.24616,0.99817,0.21134,0.96017
0.21144,0.96205,0.18302,0.88546
0.18308,0.88844,0.21134,0.96017
0.21144,0.96205,0.28868,0.98841
0.28892,0.98741,0.34147,0.93471
0.34183,0.93268,0.58303,0.65095
0.58397,0.64868,0.81042,0.47837
0.81168,0.47684,0.91609,0.40974
0.91718,0.40855,0.98542,0.3522
0.98596,0.35128,0.99649,0.30425
0.99619,0.30355,0.99649,0.30425
0.99619,0.30355,0.98542,0.3522
0.98596,0.35128,0.98542,0.3522
0.91718,0.40855,0.91609,0.40974
0.91718,0.40855,0.98542,0.3522
0.98596,0.35128,0.98542,0.3522
0.98596,0.35128,0.98542,0.3522
0.98596,0.35128,0.98542,0.3522
0.98596,0.35128,0.98542,0.3522
0.98596,0.35128,0.81042,0.47837
0.81168,0.47684,0.58303,0.65095
0.58397,0.64868,0.40674,0.84988
0.40726,0.84736,0.28868,0.98841
0.28892,0.98741,0.21134,0.96017
0.21144,0.96205,0.21134,0.96017
0.21144,0.96205,0.21134,0.96017
0.21144,0.96205,0.246,0.99773
0.24616,0.99817,0.34147,0.93471
0.34183,0.93268,0.58303,0.65095
0.58397,0.64868,0.81042,0.47837
0.81168,0.47684,0.98542,0.3522
0.98596,0.35128,0.94537,0.26435
0.94422,0.26382,0.12417,0.59348
0.12416,0.59699,0.98542,0.3522
0.98596,0.35128,0.91609,0.40974
0.99619,0.30355,0.99649,0.30425
0.99619,0.30355,0.94537,0.26435
0.94422,0.26382,0.94537,0.26435
0.94422,0.26382,0.99649,0.30425
0.99619,0.30355,0.98542,0.3522
0.98596,0.35128,0.98542,0.3522
0.98596,0.35128,0.91609,0.40974
0.91718,0.40855,0.81042,0.47837
0.81168,0.47684,0.58303,0.65095
0.58397,0.64868,0.40674,0.84988
0.40726,0.84736,0.34147,0.93471
0.34183,0.93268,0.48683,0.7507
0.48754,0.74817,0.69358,0.55898
0.69474,0.55707,0.81042,0.47837
0.81168,0.47684,0.91609,0.40974
0.91718,0.40855,0.98542,0.3522
0.98596,0.35128,0.99649,0.30425
0.99619,0.30355,0.94537,0.26435
0.94422,0.26382,0.99649,0.30425
0.99619,0.30355,0.98542,0.3522
0.98596,0.35128,0.91609,0.40974
0.91718,0.40855,0.81042,0.47837
0.69474,0.55707,0.69358,0.55898
0.69474,0.55707,0.69358,0.55898
0.69474,0.55707,0.81042,0.47837
0.81168,0.47684,0.91609,0.40974
0.91718,0.40855,0.98542,0.3522
0.98596,0.35128,0.99649,0.30425
0.99619,0.30355,0.99649,0.30425
0.99619,0.30355,0.98542,0.3522
0.98596,0.35128,0.81042,0.47837
0.81168,0.47684,0.48683,0.7507
0.48754,0.74817,0.28868,0.98841
0.28892,0.98741,0.21134,0.96017
0.21144,0.96205,0.18302,0.88546
0.18308,0.88844,0.21134,0.96017
0.21144,0.96205,0.28868,0.98841
0.28892,0.98741,0.40674,0.84988
0.40726,0.84736,0.69358,0.55898
0.69474,0.55707,0.98542,0.3522
0.98596,0.35128,0.94537,0.26435
0.94422,0.26382,0.8492,0.23107
0.84747,0.23068,0.94537,0.26435
0.94422,0.26382,0.98542,0.3522
0.48754,0.74817,0.40674,0.84988
0.40726,0.84736,0.40674,0.84988
0.40726,0.84736,0.48683,0.7507
0.48754,0.74817,0.69358,0.55898
0.69474,0.55707,0.91609,0.40974
0.91718,0.40855,0.99649,0.30425
0.99619,0.30355,0.8492,0.23107
0.84747,0.23068,0.8492,0.23107
0.84747,0.23068,0.99649,0.30425
0.99619,0.30355,0.81042,0.47837
0.81168,0.47684,0.48683,0.7507
0.48754,0.74817,0.28868,0.98841
0.28892,0.98741,0.21134,0.96017
0.21144,0.96205,0.18302,0.88546
0.18308,0.88844,0.21134,0.96017
0.21144,0.96205,0.34147,0.93471
0.34183,0.93268,0.21134,0.96017
0.21144,0.96205,0.91609,0.40974
0.91718,0.40855,0.94537,0.26435
0.94422,0.26382,0.73373,0.20321
0.73177,0.20291,0.8492,0.23107
0.84747,0.23068,0.99649,0.30425
0.40726,0.84736,0.28868,0.98841
0.28892,0.98741,0.246,0.99773
0.24616,0.99817,0.28868,0.98841
0.28892,0.98741,0.40674,0.84988
0.40726,0.84736,0.69358,0.55898
0.69474,0.55707,0.98542,0.3522
0.98596,0.35128,0.8492,0.23107
0.84747,0.23068,0.61968,0.17975
0.61775,0.17954,0.73373,0.20321
0.73177,0.20291,0.94537,0.26435
0.94422,0.26382,0.81042,0.47837
0.81168,0.47684,0.40674,0.84988
0.40726,0.84736,0.246,0.99773
0.24616,0.99817,0.18302,0.88546
0.18308,0.88844,0.21134,0.96017
0.21144,0.96205,0.28868,0.98841
0.28892,0.98741,0.48683,0.7507
0.48754,0.74817,0.91609,0.40974
0.91718,0.40855,0.94537,0.26435
0.94422,0.26382,0.73373,0.20321
0.73177,0.20291,0.61968,0.17975
0.61775,0.17954,0.8492,0.23107
0.40726,0.84736,0.246,0.99773
0.24616,0.99817,0.18302,0.88546
0.18308,0.88844,0.15971,0.78995
0.15974,0.79351,0.21134,0.96017
0.21144,0.96205,0.40674,0.84988
0.40726,0.84736,0.81042,0.47837
0.81168,0.47684,0.94537,0.26435
0.94422,0.26382,0.61968,0.17975
0.61775,0.17954,0.5181,0.1599
0.51636,0.15974,0.61968,0.17975
0.61775,0.17954,0.94537,0.26435
0.94422,0.26382,0.69358,0.55898
0.69474,0.55707,0.34147,0.93471
0.34183,0.93268,0.18302,0.88546
0.18308,0.88844,0.18302,0.88546
0.18308,0.88844,0.246,0.99773
0.24616,0.99817,0.40674,0.84988
0.40726,0.84736,0.81042,0.47837
0.81168,0.47684,0.94537,0.26435
0.94422,0.26382,0.61968,0.17975
0.61775,0.17954,0.5181,0.1599
0.51636,0.15974,0.61968,0.17975
0.58397,0.64868,0.246,0.99773
0.24616,0.99817,0.14036,0.68913
0.14037,0.69282,0.12417,0.59348
0.12416,0.59699,0.14036,0.68913
0.14037,0.69282,0.21134,0.96017
0.21144,0.96205,0.40674,0.84988
0.40726,0.84736,0.91609,0.40974
0.91718,0.40855,0.73373,0.20321
0.73177,0.20291,0.43252,0.14299
0.431,0.14288,0.43252,0.14299
0.431,0.14288,0.61968,0.17975
0.61775,0.17954,0.99649,0.30425
0.99619,0.30355,0.58303,0.65095
0.58397,0.64868,0.28868,0.98841
0.28892,0.98741,0.21134,0.96017
